小区名称,户型,面积(平),租金类型,租金价格(元/月),价格类型,楼层,装修,特色标签,信息来源,录入时间,电梯,备注
北郊小区,,,,,,多层,,,即刻社区,2022,无电梯,
国定路财大小区,两室一厅,,参考价,0,,多层,,双南，精装修,老大,2026,无电梯,
创智坊 伟德路10弄,两室两厅,,参考价,0,,高层,,南北，小区新，挑高4.2米，水压高，离公司最近，近游泳馆，隔音好,即刻社区,2026,有电梯,采光一般，不通风，神奇户型
创智坊 伟德路10弄,四室两卫,,参考价,0,,高层,,南北，小区新，挑高4.2米，水压高，离公司最近，近游泳馆，隔音好,即刻社区,2026,有电梯,采光一般，不通风，神奇户型
东方锦园,,,,,,多层,,,即刻社区,2020,无电梯,
复光苑,,,,,,多层,,,即刻社区,2022,有电梯,
公园3000·黄兴花园,一室一厅,,参考价,5500,单间参考,高层,,电梯高区，装修干净，大衣帽/可做书房,老大,2026,有电梯,
国定路505弄,两室一厅,,参考价,0,,多层,,装修干净，双南,老大,2026,无电梯,
国定路555弄,一室,,参考价,4200,单间参考,多层,,精装修，采光好，限时垃圾分类可悄悄扔,即刻社区,2026,无电梯,小区旧
国定路555弄,一室一厅,,参考价,4200,单间参考,多层,,精装修，采光好，限时垃圾分类可悄悄扔,即刻社区,2026,无电梯,小区旧
国定路600弄,一室,,参考价,0,,旧楼,,三楼，便宜，朝南全明，环保材料，精装修,老大,2026,无电梯,隔音差，无绿化，潮湿
国定路601弄,,,,,,多层,,,即刻社区,2020,无电梯,
国定路700弄,一室,44-46,整租,4500,总价,多层,,44-46平米一室 4500-5700元，66平米两室 6800元，66平米两室一厅 6800元，南北通透，手机信号良好,即刻社区,2026,无电梯,幼儿园广播
国定路700弄,一室一厅,,参考价,4500,单间参考,多层,,44-46平米一室 4500-5700元，66平米两室 6800元，66平米两室一厅 6800元，南北通透，手机信号良好,即刻社区,2026,无电梯,幼儿园广播
国定路700弄,两室一厅,66,整租,6800,总价,多层,,44-46平米一室 4500-5700元，66平米两室 6800元，66平米两室一厅 6800元，南北通透，手机信号良好,即刻社区,2026,无电梯,幼儿园广播
国和路610弄,一室,,参考价,4500,单间参考,多层,,精装修,老大,2026,无电梯,
国和一村,,,,,,多层,,,即刻社区,2020,无电梯,
